Training cell_line=K562 in mode genomic-piq-no-window
Proper cross validation
F1: 0.00992, ROC_AUC: 0.67081
chr1	0.01325	0.72239
chr10	0.00000	0.81207
chr11	0.00000	0.73757
chr12	0.00000	0.70099
chr13	0.00000	0.36952
chr14	0.00000	0.54230
chr15	0.00000	0.64163
chr16	0.00000	0.79013
chr17	0.00000	0.74632
chr18	0.00000	0.59111
chr19	0.00000	0.75343
chr2	0.02778	0.70604
chr20	0.00000	0.64421
chr21	0.00000	0.55627
chr22	0.00000	0.63328
chr3	0.00000	0.66322
chr4	0.00000	0.68339
chr5	0.00000	0.54315
chr6	0.14545	0.72911
chr7	0.00000	0.71977
chr8	0.04167	0.70572
chr9	0.00000	0.74475
chrX	0.00000	0.69229
