Training cell_line=HUVEC in mode genomic-piq
Proper cross validation
F1: 0.03947, ROC_AUC: 0.71874
chr1	0.06897	0.66171
chr10	0.12121	0.79584
chr11	0.02247	0.69278
chr12	0.06061	0.76009
chr13	0.00000	0.64998
chr14	0.14085	0.75653
chr15	0.12048	0.71647
chr16	0.00000	0.64445
chr17	0.00000	0.63650
chr18	0.08889	0.77742
chr19	0.00000	0.71837
chr2	0.01550	0.80701
chr20	0.00000	0.60502
chr21	0.06250	0.84797
chr22	0.00000	0.79148
chr3	0.00000	0.75907
chr4	0.00000	0.74179
chr5	0.00000	0.69237
chr6	0.01274	0.68096
chr7	0.19355	0.82968
chr8	0.00000	0.66914
chr9	0.00000	0.63197
chrX	0.00000	0.66452
