Training cell_line=K562 in mode genomic-piq
Proper cross validation
F1: 0.01355, ROC_AUC: 0.65385
chr1	0.01500	0.69013
chr10	0.00000	0.69478
chr11	0.07519	0.71179
chr12	0.01626	0.66945
chr13	0.00000	0.33632
chr14	0.00000	0.65075
chr15	0.00000	0.67203
chr16	0.00000	0.75343
chr17	0.00000	0.66978
chr18	0.00000	0.56617
chr19	0.00000	0.76459
chr2	0.00000	0.71420
chr20	0.00000	0.72525
chr21	0.00000	0.56775
chr22	0.00000	0.60199
chr3	0.00000	0.66154
chr4	0.00000	0.63093
chr5	0.00000	0.65634
chr6	0.15281	0.74972
chr7	0.01613	0.70628
chr8	0.00000	0.67446
chr9	0.00000	0.64300
chrX	0.03636	0.52784
