Training cell_line=HUVEC in mode genomic-only
Proper cross validation
F1: 0.06737, ROC_AUC: 0.77717
chr1	0.11921	0.80096
chr10	0.21212	0.85628
chr11	0.00000	0.78174
chr12	0.06897	0.80672
chr13	0.00000	0.87109
chr14	0.18519	0.77238
chr15	0.14706	0.70001
chr16	0.00000	0.61679
chr17	0.07317	0.71185
chr18	0.00000	0.80735
chr19	0.00000	0.84964
chr2	0.17241	0.83903
chr20	0.00000	0.71943
chr21	0.00000	0.88278
chr22	0.00000	0.72099
chr3	0.07059	0.74686
chr4	0.03636	0.76069
chr5	0.23301	0.78840
chr6	0.08511	0.71324
chr7	0.04211	0.75749
chr8	0.10417	0.80550
chr9	0.00000	0.74317
chrX	0.00000	0.82256
