Training cell_line=HUVEC in mode genomic-piq-window
Proper cross validation
F1: 0.03750, ROC_AUC: 0.72787
chr1	0.04225	0.76501
chr10	0.03509	0.86326
chr11	0.00000	0.75997
chr12	0.00000	0.80314
chr13	0.00000	0.77689
chr14	0.18519	0.65077
chr15	0.14085	0.63341
chr16	0.00000	0.63234
chr17	0.07229	0.70112
chr18	0.00000	0.58422
chr19	0.00000	0.84760
chr2	0.07407	0.84578
chr20	0.00000	0.51757
chr21	0.00000	0.88244
chr22	0.00000	0.60907
chr3	0.00000	0.66676
chr4	0.00000	0.83428
chr5	0.04651	0.70959
chr6	0.04511	0.73609
chr7	0.04255	0.77024
chr8	0.06742	0.77154
chr9	0.00000	0.69489
chrX	0.11111	0.68506
