Training cell_line=HUVEC in mode genomic-piq-no-window
Proper cross validation
F1: 0.05029, ROC_AUC: 0.71291
chr1	0.08163	0.74176
chr10	0.18750	0.81799
chr11	0.00000	0.70836
chr12	0.16260	0.78912
chr13	0.00000	0.77378
chr14	0.18182	0.76069
chr15	0.08955	0.68100
chr16	0.00000	0.59521
chr17	0.00000	0.63875
chr18	0.00000	0.54832
chr19	0.00000	0.76664
chr2	0.09091	0.83158
chr20	0.00000	0.58100
chr21	0.00000	0.84306
chr22	0.00000	0.64210
chr3	0.00000	0.64456
chr4	0.03636	0.76203
chr5	0.16495	0.69654
chr6	0.01538	0.67380
chr7	0.02105	0.72228
chr8	0.00000	0.77646
chr9	0.00000	0.70635
chrX	0.12500	0.69562
